Fecha,Yantac,Laguna Cochaquillo,Laguna Surasaca
1981-01-01,0.003,0.032,8.003
1981-01-02,0.07,0.047,13.404
1981-01-03,3.242,12.312,0.36
1981-01-04,25.904,18.654,0.316
1981-01-05,10.86,0.449,0.539
1981-01-06,0.129,0,0.06
1981-01-07,6.712,0.232,13.577
1981-01-08,14.384,7.76,11.414
1981-01-09,20.086,0.151,2.659
1981-01-10,8.785,6.818,5.807
1981-01-11,7.052,2.998,2.939
1981-01-12,3.626,2.597,1.63
1981-01-13,15.933,6.739,6.138
1981-01-14,0.36,0.568,1.694
1981-01-15,0.265,0.422,0.122
1981-01-16,0.138,0,0.059
1981-01-17,0.298,0,0.226
1981-01-18,0.755,0,0.361
1981-01-19,0.071,10.328,1.239
1981-01-20,2.586,0.454,4.041
1981-01-21,0.514,6.069,4.968
1981-01-22,0,0,0.024
1981-01-23,0.009,0.053,0.402
1981-01-24,0.032,0.001,0
1981-01-25,1.407,0,0
1981-01-26,3.947,1.415,0.436
1981-01-27,1.934,8.275,6.898
1981-01-28,2.476,2.13,4.848
1981-01-29,3.389,0.52,9.527
1981-01-30,35.68,2.161,8.169
1981-01-31,14.725,6.996,8.374
1981-02-01,4.411,0.029,6.354
1981-02-02,16.655,0.168,2.578
1981-02-03,14.848,0.04,5.461
1981-02-04,15.5,14.301,5.168
1981-02-05,3.36,0.274,5.706
1981-02-06,10.239,6.218,12.008
1981-02-07,1.809,4.736,8.59
1981-02-08,12.688,0.18,8.13
1981-02-09,14.024,4.972,14.956
1981-02-10,6.81,0.498,9.551
1981-02-11,2.225,4.343,8.882
1981-02-12,6.744,8.571,10.351
1981-02-13,14.548,4.816,16.193
1981-02-14,3.001,0.602,8.513
1981-02-15,1.09,0.14,1.671
1981-02-16,3.324,0.424,12.487
1981-02-17,11.724,0.036,4.642
1981-02-18,8.621,14.671,16.844
1981-02-19,2.07,0.486,4.649
1981-02-20,6.902,0.136,3.923
1981-02-21,9.467,17.53,14.314
1981-02-22,2.445,0.242,7.326
1981-02-23,24.439,0.301,9.705
1981-02-24,8.623,0,9.324
1981-02-25,5.27,0.227,3.614
1981-02-26,6.133,0.084,4.13
1981-02-27,9.717,0.173,6.331
1981-02-28,26.226,7.844,5.122
1981-03-01,2.297,0.258,0.778
1981-03-02,17.097,0.238,4.41
1981-03-03,6.876,0.07,1.727
1981-03-04,2,0.314,10.814
1981-03-05,13.454,2.86,4.016
1981-03-06,4.923,0.044,4.082
1981-03-07,2.574,0.088,4.089
1981-03-08,45.243,0.772,18.167
1981-03-09,11.304,47.122,7.379
1981-03-10,8.109,0.174,17.11
1981-03-11,5.701,13.132,5.167
1981-03-12,0.434,13.247,1.289
1981-03-13,3.848,0.498,2.443
1981-03-14,0,10.849,0.68
1981-03-15,2.228,17.105,0.47
1981-03-16,0,12.459,0
1981-03-17,0,10.631,0.132
1981-03-18,6.95,16.78,8.136
1981-03-19,1.369,0.313,2.992
1981-03-20,0.086,0.013,1.231
1981-03-21,6.403,16.96,1.907
1981-03-22,2.161,0.142,1.866
1981-03-23,1.343,2.125,7.135
1981-03-24,7.061,15.034,0.21
1981-03-25,1.844,1.702,0.243
1981-03-26,0.851,5.282,0.235
1981-03-27,0.784,4.764,0.011
1981-03-28,0.134,4.981,3.188
1981-03-29,0.242,0.222,2.652
1981-03-30,2.235,0.111,0.074
1981-03-31,0.029,0.049,1.234
1981-04-01,0.053,0.035,0
1981-04-02,0.02,0.175,0.19
1981-04-03,2.504,0.339,0.01
1981-04-04,1.804,0.739,0.936
